iter	Passed	Remaining
0	1	227
1	2	211
2	3	204
3	4	192
4	5	183
5	6	182
6	7	183
7	8	176
8	9	180
9	10	177
10	11	177
11	13	179
12	14	177
13	15	178
14	16	178
15	17	175
16	18	175
17	20	176
18	21	176
19	22	176
20	23	175
21	25	175
22	26	175
23	27	175
24	29	179
25	31	179
26	32	177
27	33	176
28	34	174
29	35	174
30	37	173
31	38	171
32	39	170
33	40	168
34	41	167
35	43	168
36	44	167
37	45	166
38	47	166
39	48	164
40	49	164
41	51	163
42	52	162
43	53	161
44	55	160
45	56	159
46	57	158
47	59	157
48	60	156
49	61	156
50	63	155
51	64	154
52	65	152
53	67	151
54	68	150
55	69	149
56	71	148
57	72	147
58	74	147
59	76	146
60	77	146
61	79	146
62	81	145
63	82	144
64	84	143
65	85	142
66	87	142
67	89	141
68	90	140
69	91	138
70	92	137
71	94	136
72	96	135
73	97	134
74	99	133
75	100	132
76	102	131
77	103	130
78	105	129
79	106	127
80	107	126
81	109	125
82	110	123
83	111	122
84	113	121
85	114	119
86	115	118
87	117	117
88	118	116
89	120	115
90	121	113
91	123	112
92	124	111
93	126	110
94	127	108
95	129	107
96	130	106
97	132	105
98	133	103
99	135	102
100	136	101
101	137	100
102	139	98
103	140	97
104	141	96
105	143	94
106	144	93
107	146	91
108	147	90
109	148	89
110	150	88
111	151	86
112	152	85
113	154	83
114	155	82
115	156	81
116	158	79
117	159	78
118	160	76
119	161	75
120	163	74
121	164	72
122	166	71
123	167	70
124	168	68
125	169	67
126	171	66
127	172	64
128	173	63
129	174	61
130	176	60
131	178	59
132	179	57
133	180	56
134	181	55
135	183	53
136	184	52
137	185	51
138	186	49
139	188	48
140	190	47
141	191	45
142	192	44
143	194	43
144	195	41
145	196	40
146	197	39
147	199	37
148	200	36
149	202	35
150	203	33
151	205	32
152	206	31
153	208	29
154	209	28
155	211	27
156	212	25
157	213	24
158	215	22
159	216	21
160	217	20
161	219	18
162	220	17
163	221	16
164	223	14
165	224	13
166	226	12
167	227	10
168	228	9
169	230	8
170	231	6
171	232	5
172	233	4
173	235	2
174	236	1
175	238	0
