iter	Passed	Remaining
0	4	958
1	9	954
2	11	774
3	15	783
4	20	791
5	23	756
6	27	770
7	30	723
8	32	691
9	36	685
10	38	659
11	43	677
12	47	686
13	52	696
14	56	701
15	60	696
16	65	705
17	67	686
18	72	688
19	75	680
20	79	681
21	85	692
22	90	696
23	95	698
24	98	688
25	103	694
26	108	696
27	113	695
28	117	693
29	122	692
30	127	693
31	131	691
32	136	691
33	141	689
34	145	687
35	150	684
36	154	681
37	159	678
38	163	676
39	168	675
40	174	676
41	178	673
42	183	670
43	187	664
44	190	657
45	195	653
46	199	650
47	203	642
48	205	632
49	208	624
50	212	621
51	217	618
52	220	610
53	224	607
54	229	605
55	234	602
56	237	595
57	241	592
58	244	584
59	249	581
60	253	578
61	258	575
62	262	570
63	266	566
64	270	561
65	274	557
66	279	555
67	284	551
68	288	548
69	293	544
70	298	542
71	303	540
72	308	536
73	312	532
74	316	528
75	321	524
76	325	520
77	330	516
78	335	513
79	339	509
80	344	505
81	348	502
82	352	496
83	355	490
84	359	485
85	363	482
86	368	478
87	373	475
88	377	471
89	383	468
90	387	464
91	391	460
92	396	456
93	401	452
94	405	448
95	408	442
96	413	439
97	418	435
98	423	431
99	428	428
100	434	425
101	438	421
102	443	417
103	448	414
104	453	410
105	458	406
106	463	402
107	468	398
108	473	394
109	478	391
110	483	387
111	488	383
112	493	380
113	498	376
114	503	372
115	508	368
116	513	364
117	518	360
118	523	356
119	528	352
120	532	347
121	537	343
122	542	339
123	547	335
124	553	331
125	557	327
126	563	323
127	568	319
128	573	315
129	578	311
130	583	307
131	589	303
132	594	299
133	598	294
134	603	290
135	608	286
136	613	281
137	617	277
138	622	273
139	627	268
140	632	264
141	637	260
142	642	256
143	647	251
144	652	247
145	657	243
146	662	238
147	666	234
148	671	230
149	676	225
150	681	221
151	687	217
152	691	212
153	696	207
154	700	203
155	705	198
156	710	194
157	715	190
158	719	185
159	724	181
160	730	176
161	735	172
162	740	168
163	745	163
164	750	159
165	755	154
166	760	150
167	765	145
168	770	141
169	774	136
170	779	132
171	783	127
172	788	123
173	793	118
174	798	114
175	803	109
176	808	105
177	814	100
178	819	96
179	823	91
180	829	87
181	834	82
182	838	77
183	844	73
184	848	68
185	853	64
186	859	59
187	863	55
188	869	50
189	874	46
190	879	41
191	883	36
192	888	32
193	893	27
194	898	23
195	903	18
196	908	13
197	913	9
198	918	4
199	923	0
