,cancel
cancel,100.0
type_Month-to-month,40.51029106879911
internet_service_Fiber optic,30.80197449448227
payment_method_Electronic check,30.191874901128497
monthly_charges,19.335642223784717
paperless_billing,19.182533166646877
senior_citizen,15.088932817647233
gender,-0.861209507899784
multiple_lines,-1.9791498736744344
streaming_tv,-3.7057217694497484
streaming_movies,-4.013229807186167
payment_method_Mailed check,-9.168283858842928
payment_method_Bank transfer (automatic),-11.79366719285387
internet_service_DSL,-12.421382390260355
payment_method_Credit card (automatic),-13.430175066262839
partner,-15.044754495917623
dependents,-16.42214015797254
device_protection,-17.71249647717254
type_One year,-17.78200183499079
online_backup,-19.60612083161243
total_charges,-19.942771508831445
tech_support,-27.442181565797046
online_security,-28.08163730932935
type_Two year,-30.225346934965014
